曲名,難易度,STDORDX,スコア
Starlight Disco,MAS,DX,989454
Starlight Disco,MAS,STD,983722
ENJOY POLIS,MAS,STD,998190
connecting with you,MAS,STD,992870
Believe the Rainbow,MAS,STD,1004226
MIRROR of MAGIC,MAS,STD,978862
ナミダと流星,MAS,DX,1004439
ナミダと流星,MAS,STD,993216
maimaiちゃんのテーマ,MAS,STD,1001371
True Love Song,MAS,STD,985767
炭★坑★節,MAS,STD,984869
ぴぴぱぷぅ！,MAS,STD,995103
maiム・maiム feat.週刊少年マガジン,MAS,STD,999101
QuiQ,MAS,DX,933957
P-qoq,MAS,DX,979379
Flashback,MAS,DX,985449
Colorfull:Encounter,MAS,DX,975669
Oshama Scramble!,MAS,DX,937864
Garakuta Doll Play,MAS,STD,988451
Blew Moon,MAS,STD,972825
天蓋,MAS,DX,961798
Edelweiss,MAS,DX,989133
Lunatic Vibes,MAS,DX,969042
The Cursed Doll,MAS,DX,994876
The Great Banquet,MAS,DX,966406
Swift Swing,MAS,DX,915203
Horoscope Express,MAS,DX,970203
raputa,MAS,DX,835307
モ°ルモ°ル,MAS,DX,979537
Party☆People☆Princess,MAS,DX,922176
POWER OF UNITY,MAS,DX,933289
oboro,MAS,DX,990479
ぽわわん劇場,MAS,DX,961721
渦状銀河のシンフォニエッタ,MAS,STD,964950
enchanted wanderer,MAS,DX,1006191
Comet Panto Men!,MAS,DX,969395
Cider P@rty,MAS,DX,998807
ここからはじまるプロローグ。 (Kanon Remix),MAS,DX,994494
モ°ルモ°ル (MZK Skippin' Remix),MAS,DX,989332
VERTeX (rintaro soma deconstructed remix),MAS,DX,921979
Beat Opera op.1,MAS,DX,975081
[X],MAS,DX,979001
You Mean the World to Me,MAS,DX,989799
VSpook!,MAS,DX,925159
Rising on the horizon,MAS,DX,894158
"""411Ψ892""",MAS,DX,930351
火炎地獄,MAS,STD,980768
N3V3R G3T OV3R,MAS,DX,912121
Irresistible,MAS,DX,987959
天火明命,MAS,STD,966614
Technicians High,MAS,DX,973253
Technicians High,MAS,STD,970575
Round Round Spinning Around,MAS,DX,940410
Alcyone,MAS,DX,966481
華の集落、秋のお届け,MAS,DX,962394
Trick tear,MAS,DX,945819
BLACK SWAN,MAS,DX,918657
躯樹の墓守,MAS,DX,902250
U&iVERSE -銀河鸞翔-,MAS,DX,930033
Alea jacta est!,MAS,STD,932837
Last Samurai,MAS,DX,1000794
Aiolos,MAS,STD,936694
